Description,Full Address,Value,Type,Base,Offset
P1_A_Is_Prox_Block,2C268499,0,Byte,2C268340,159
P1_B_Is_Prox_Block,2C268FE1,24,Byte,2C268E88,159
P1_C_Is_Prox_Block,2C269B29,24,Byte,2C2699D0,159
P2_A_Is_Prox_Block,2C268A3D,0,Byte,2C2688E4,159
P2_B_Is_Prox_Block,2C269585,0,Byte,2C26942C,159
P2_C_Is_Prox_Block,2C26A0CD,24,Byte,2C269F74,159
Jumping_Special_Counter,,,,,
P1_A_Jumping_Special_Counter,2C268514,0,Byte,2C268340,1D4
P1_B_Jumping_Special_Counter,2C26905C,0,Byte,2C268E88,1D4
P1_C_Jumping_Special_Counter,2C269BA4,0,Byte,2C2699D0,1D4
P2_A_Jumping_Special_Counter,2C268AB8,0,Byte,2C2688E4,1D4
P2_B_Jumping_Special_Counter,2C269600,0,Byte,2C26942C,1D4
P2_C_Jumping_Special_Counter,2C26A148,0,Byte,2C269F74,1D4
Jumps,,,,,
P1_A_Jumps,2C268519,0,Byte,2C268340,1D9
P1_B_Jumps,2C269061,0,Byte,2C268E88,1D9
P1_C_Jumps,2C269BA9,0,Byte,2C2699D0,1D9
P2_A_Jumps,2C268ABD,0,Byte,2C2688E4,1D9
P2_B_Jumps,2C269605,0,Byte,2C26942C,1D9
P2_C_Jumps,2C26A14D,0,Byte,2C269F74,1D9
Knockdown_State,,,,,
P1_A_Knockdown_State,2C268510,0,Byte,2C268340,1D0
P1_B_Knockdown_State,2C269058,0,Byte,2C268E88,1D0
P1_C_Knockdown_State,2C269BA0,0,Byte,2C2699D0,1D0
P2_A_Knockdown_State,2C268AB4,0,Byte,2C2688E4,1D0
P2_B_Knockdown_State,2C2695FC,0,Byte,2C26942C,1D0
P2_C_Knockdown_State,2C26A144,0,Byte,2C269F74,1D0
Landing_Shake,,,,,
P1_A_Landing_Shake,2C268547,3,Byte,2C268340,207
P1_B_Landing_Shake,2C26908F,3,Byte,2C268E88,207
P1_C_Landing_Shake,2C269BD7,3,Byte,2C2699D0,207
P2_A_Landing_Shake,2C268AEB,3,Byte,2C2688E4,207
P2_B_Landing_Shake,2C269633,3,Byte,2C26942C,207
P2_C_Landing_Shake,2C26A17B,3,Byte,2C269F74,207
Magneto_Throw_Toggle,,,,,
P1_A_Magneto_Throw_Toggle,2C268576,120,Byte,2C268340,236
P1_B_Magneto_Throw_Toggle,2C2690BE,0,Byte,2C268E88,236
P1_C_Magneto_Throw_Toggle,2C269C06,0,Byte,2C2699D0,236
P2_A_Magneto_Throw_Toggle,2C268B1A,120,Byte,2C2688E4,236
P2_B_Magneto_Throw_Toggle,2C269662,0,Byte,2C26942C,236
P2_C_Magneto_Throw_Toggle,2C26A1AA,0,Byte,2C269F74,236
Normal_Held_Direction,,,,,
P1_A_Normal_Held_Direction,2C268362,1,Byte,2C268340,22
P1_B_Normal_Held_Direction,2C268EAA,0,Byte,2C268E88,22
P1_C_Normal_Held_Direction,2C2699F2,0,Byte,2C2699D0,22
P2_A_Normal_Held_Direction,2C268906,0,Byte,2C2688E4,22
P2_B_Normal_Held_Direction,2C26944E,0,Byte,2C26942C,22
P2_C_Normal_Held_Direction,2C269F96,0,Byte,2C269F74,22
Normal_Strength,,,,,
P1_A_Normal_Strength,2C2684E7,2,Byte,2C268340,1A7
P1_B_Normal_Strength,2C26902F,0,Byte,2C268E88,1A7
P1_C_Normal_Strength,2C269B77,0,Byte,2C2699D0,1A7
P2_A_Normal_Strength,2C268A8B,1,Byte,2C2688E4,1A7
P2_B_Normal_Strength,2C2695D3,0,Byte,2C26942C,1A7
P2_C_Normal_Strength,2C26A11B,0,Byte,2C269F74,1A7
Powerup_Modifier,,,,,
P1_A_Powerup_Modifier,2C26872E,0,2 Byte,2C268340,3EE
P1_B_Powerup_Modifier,2C269276,0,2 Byte,2C268E88,3EE
P1_C_Powerup_Modifier,2C269DBE,0,2 Byte,2C2699D0,3EE
P2_A_Powerup_Modifier,2C268CD2,0,2 Byte,2C2688E4,3EE
P2_B_Powerup_Modifier,2C26981A,0,2 Byte,2C26942C,3EE
P2_C_Powerup_Modifier,2C26A362,0,2 Byte,2C269F74,3EE
Powerup_Timer,,,,,
P1_A_Powerup_Timer,2C268726,0,2 Byte,2C268340,3E6
P1_B_Powerup_Timer,2C26926E,0,2 Byte,2C268E88,3E6
P1_C_Powerup_Timer,2C269DB6,0,2 Byte,2C2699D0,3E6
P2_A_Powerup_Timer,2C268CCA,0,2 Byte,2C2688E4,3E6
P2_B_Powerup_Timer,2C269812,0,2 Byte,2C26942C,3E6
P2_C_Powerup_Timer,2C26A35A,0,2 Byte,2C269F74,3E6
ProxBlock,,,,,
P1_A_Proxblock,2C26848A,0,Byte,2C268340,14A
P1_B_Proxblock,2C268FD2,0,Byte,2C268E88,14A
P1_C_Proxblock,2C269B1A,0,Byte,2C2699D0,14A
P2_A_Proxblock,2C268A2E,0,Byte,2C2688E4,14A
P2_B_Proxblock,2C269576,0,Byte,2C26942C,14A
P2_C_Proxblock,2C26A0BE,0,Byte,2C269F74,14A
PunchKick,,,,,
P1_A_PunchKick,2C26853E,1,2 Byte,2C268340,1FE
P1_B_PunchKick,2C269086,0,2 Byte,2C268E88,1FE
P1_C_PunchKick,2C269BCE,0,2 Byte,2C2699D0,1FE
P2_A_PunchKick,2C268AE2,0,2 Byte,2C2688E4,1FE
P2_B_PunchKick,2C26962A,0,2 Byte,2C26942C,1FE
P2_C_PunchKick,2C26A172,0,2 Byte,2C269F74,1FE
SJ_Counter,,,,,
P1_A_SJ_Counter,2C26853C,0,Byte,2C268340,1FC
P1_B_SJ_Counter,2C269084,0,Byte,2C268E88,1FC
P1_C_SJ_Counter,2C269BCC,0,Byte,2C2699D0,1FC
P2_A_SJ_Counter,2C268AE0,0,Byte,2C2688E4,1FC
P2_B_SJ_Counter,2C269628,0,Byte,2C26942C,1FC
P2_C_SJ_Counter,2C26A170,0,Byte,2C269F74,1FC
Snapback_Timer,,,,,
P1_A_Snapback_Timer,2C2685E0,0,2 Byte,2C268340,2A0
P1_B_Snapback_Timer,2C269128,0,2 Byte,2C268E88,2A0
P1_C_Snapback_Timer,2C269C70,0,2 Byte,2C2699D0,2A0
P2_A_Snapback_Timer,2C268B84,0,2 Byte,2C2688E4,2A0
P2_B_Snapback_Timer,2C2696CC,0,2 Byte,2C26942C,2A0
P2_C_Snapback_Timer,2C26A214,0,2 Byte,2C269F74,2A0
Special_Attack_ID,,,,,
P1_A_Special_Attack_ID,2C268529,15,Byte,2C268340,1E9
P1_B_Special_Attack_ID,2C269071,4,Byte,2C268E88,1E9
P1_C_Special_Attack_ID,2C269BB9,1,Byte,2C2699D0,1E9
P2_A_Special_Attack_ID,2C268ACD,0,Byte,2C2688E4,1E9
P2_B_Special_Attack_ID,2C269615,0,Byte,2C26942C,1E9
P2_C_Special_Attack_ID,2C26A15D,3,Byte,2C269F74,1E9
Speedup,,,,,
P1_A_Speedup,2C268540,0,Byte,2C268340,200
P1_B_Speedup,2C269088,0,Byte,2C268E88,200
P1_C_Speedup,2C269BD0,0,Byte,2C2699D0,200
P2_A_Speedup,2C268AE4,0,Byte,2C2688E4,200
P2_B_Speedup,2C26962C,0,Byte,2C26942C,200
P2_C_Speedup,2C26A174,0,Byte,2C269F74,200
Stun_Check,,,,,
P1_A_Stun_Check,2C268345,0,Byte,2C268340,5
P1_B_Stun_Check,2C268E8D,0,Byte,2C268E88,5
P1_C_Stun_Check,2C2699D5,0,Byte,2C2699D0,5
P2_A_Stun_Check,2C2688E9,0,Byte,2C2688E4,5
P2_B_Stun_Check,2C269431,0,Byte,2C26942C,5
P2_C_Stun_Check,2C269F79,0,Byte,2C269F74,5
Super_Armor,,,,,
P1_A_Super_Armor,2C268732,0,Byte,2C268340,3F2
P1_B_Super_Armor,2C26927A,0,Byte,2C268E88,3F2
P1_C_Super_Armor,2C269DC2,0,Byte,2C2699D0,3F2
P2_A_Super_Armor,2C268CD6,0,Byte,2C2688E4,3F2
P2_B_Super_Armor,2C26981E,0,Byte,2C26942C,3F2
P2_C_Super_Armor,2C26A366,0,Byte,2C269F74,3F2
Throw_Counter_Mash,,,,,
P1_A_Throw_Counter_Mash,2C26859C,0,2 Byte,2C268340,25C
P1_B_Throw_Counter_Mash,2C2690E4,0,2 Byte,2C268E88,25C
P1_C_Throw_Counter_Mash,2C269C2C,0,2 Byte,2C2699D0,25C
P2_A_Throw_Counter_Mash,2C268B40,0,2 Byte,2C2688E4,25C
P2_B_Throw_Counter_Mash,2C269688,0,2 Byte,2C26942C,25C
P2_C_Throw_Counter_Mash,2C26A1D0,0,2 Byte,2C269F74,25C
Throw_Immune,,,,,
P1_A_Throw_Immune,2C26852B,0,Byte,2C268340,1EB
P1_B_Throw_Immune,2C269073,0,Byte,2C268E88,1EB
P1_C_Throw_Immune,2C269BBB,0,Byte,2C2699D0,1EB
P2_A_Throw_Immune,2C268ACF,0,Byte,2C2688E4,1EB
P2_B_Throw_Immune,2C269617,0,Byte,2C26942C,1EB
P2_C_Throw_Immune,2C26A15F,0,Byte,2C269F74,1EB
Throw_Limiter,,,,,
P1_A_Throw_Limiter,2C26857A,0,Byte,2C268340,23A
P1_B_Throw_Limiter,2C2690C2,0,Byte,2C268E88,23A
P1_C_Throw_Limiter,2C269C0A,0,Byte,2C2699D0,23A
P2_A_Throw_Limiter,2C268B1E,0,Byte,2C2688E4,23A
P2_B_Throw_Limiter,2C269666,0,Byte,2C26942C,23A
P2_C_Throw_Limiter,2C26A1AE,0,Byte,2C269F74,23A
Throw_RNG,,,,,
P1_A_Throw_RNG,2C26859E,0,2 Byte,2C268340,25E
P1_B_Throw_RNG,2C2690E6,0,2 Byte,2C268E88,25E
P1_C_Throw_RNG,2C269C2E,0,2 Byte,2C2699D0,25E
P2_A_Throw_RNG,2C268B42,0,2 Byte,2C2688E4,25E
P2_B_Throw_RNG,2C26968A,0,2 Byte,2C26942C,25E
P2_C_Throw_RNG,2C26A1D2,0,2 Byte,2C269F74,25E
Trip_Checker,,,,,
P1_A_Trip_Checker,2C2683AC,0,Byte,2C268340,6C
P1_B_Trip_Checker,2C268EF4,219,Byte,2C268E88,6C
P1_C_Trip_Checker,2C269A3C,219,Byte,2C2699D0,6C
P2_A_Trip_Checker,2C268950,0,Byte,2C2688E4,6C
P2_B_Trip_Checker,2C269498,0,Byte,2C26942C,6C
P2_C_Trip_Checker,2C269FE0,219,Byte,2C269F74,6C
Unfly,,,,,
P1_A_Unfly,2C268516,17,Byte,2C268340,1D6
P1_B_Unfly,2C26905E,0,Byte,2C268E88,1D6
P1_C_Unfly,2C269BA6,17,Byte,2C2699D0,1D6
P2_A_Unfly,2C268ABA,255,Byte,2C2688E4,1D6
P2_B_Unfly,2C269602,0,Byte,2C26942C,1D6
P2_C_Unfly,2C26A14A,0,Byte,2C269F74,1D6
Walking,,,,,
P1_A_Walking,2C268513,255,Byte,2C268340,1D3
P1_B_Walking,2C26905B,255,Byte,2C268E88,1D3
P1_C_Walking,2C269BA3,0,Byte,2C2699D0,1D3
P2_A_Walking,2C268AB7,255,Byte,2C2688E4,1D3
P2_B_Walking,2C2695FF,0,Byte,2C26942C,1D3
P2_C_Walking,2C26A147,255,Byte,2C269F74,1D3

