Description,Full Address,Value,Type,Base,Offset
P2_B_Y_Position_From_Enemy,2C2698B8,0,Float,2C26942C,48C
P2_C_Y_Position_From_Enemy,2C26A400,-177.8571014,Float,2C269F74,48C
X_Position_Arena,,,,,
P1_A_X_Position_Arena,2C268374,-927.9678955,Float,2C268340,34
P1_B_X_Position_Arena,2C268EBC,-1386.666626,Float,2C268E88,34
P1_C_X_Position_Arena,2C269A04,1386.666626,Float,2C2699D0,34
P2_A_X_Position_Arena,2C268918,-814.6345825,Float,2C2688E4,34
P2_B_X_Position_Arena,2C269460,213.3333282,Float,2C26942C,34
P2_C_X_Position_Arena,2C269FA8,1386.666626,Float,2C269F74,34
Y_Position_Arena,,,,,
P1_A_Y_Position_Arena,2C268378,0,Float,2C268340,38
P1_B_Y_Position_Arena,2C268EC0,0,Float,2C268E88,38
P1_C_Y_Position_Arena,2C269A08,0,Float,2C2699D0,38
P2_A_Y_Position_Arena,2C26891C,0,Float,2C2688E4,38
P2_B_Y_Position_Arena,2C269464,0,Float,2C26942C,38
P2_C_Y_Position_Arena,2C269FAC,0,Float,2C269F74,38
X_Position_Screen,,,,,
P1_A_X_Position_Screen,2C268420,352.0317688,Float,2C268340,E0
P1_B_X_Position_Screen,2C268F68,-198.3479309,Float,2C268E88,E0
P1_C_X_Position_Screen,2C269AB0,838.0117188,Float,2C2699D0,E0
P2_A_X_Position_Screen,2C2689C4,465.7238464,Float,2C2688E4,E0
P2_B_X_Position_Screen,2C26950C,0,Float,2C26942C,E0
P2_C_X_Position_Screen,2C26A054,869.9868164,Float,2C269F74,E0
Y_Position_Screen,,,,,
P1_A_Y_Position_Screen,2C268424,433.3999939,Float,2C268340,E4
P1_B_Y_Position_Screen,2C268F6C,266.5250244,Float,2C268E88,E4
P1_C_Y_Position_Screen,2C269AB4,314.0065613,Float,2C2699D0,E4
P2_A_Y_Position_Screen,2C2689C8,433.6344299,Float,2C2688E4,E4
P2_B_Y_Position_Screen,2C269510,0,Float,2C26942C,E4
P2_C_Y_Position_Screen,2C26A058,255.3383484,Float,2C269F74,E4
X_Velocity,,,,,
P1_A_X_Velocity,2C26839C,0,Float,2C268340,5C
P1_B_X_Velocity,2C268EE4,-16.66666603,Float,2C268E88,5C
P1_C_X_Velocity,2C269A2C,16.66666603,Float,2C2699D0,5C
P2_A_X_Velocity,2C268940,0,Float,2C2688E4,5C
P2_B_X_Velocity,2C269488,0,Float,2C26942C,5C
P2_C_X_Velocity,2C269FD0,16.66666603,Float,2C269F74,5C
Y_Velocity,,,,,
P1_A_Y_Velocity,2C2683A0,0,Float,2C268340,60
P1_B_Y_Velocity,2C268EE8,5.08928299,Float,2C268E88,60
P1_C_Y_Velocity,2C269A30,0.267854512,Float,2C2699D0,60
P2_A_Y_Velocity,2C268944,0,Float,2C2688E4,60
P2_B_Y_Velocity,2C26948C,0,Float,2C26942C,60
P2_C_Y_Velocity,2C269FD4,3.482140303,Float,2C269F74,60
Hitbox_Scale_X,,,,,
P1_A_Hitbox_Scale_X,2C26842C,1.666666985,Float,2C268340,EC
P1_B_Hitbox_Scale_X,2C268F74,1.666666985,Float,2C268E88,EC
P1_C_Hitbox_Scale_X,2C269ABC,1.666666985,Float,2C2699D0,EC
P2_A_Hitbox_Scale_X,2C2689D0,1.666666985,Float,2C2688E4,EC
P2_B_Hitbox_Scale_X,2C269518,1.666666627,Float,2C26942C,EC
P2_C_Hitbox_Scale_X,2C26A060,1.666666985,Float,2C269F74,EC
Hitbox_Scale_Y,,,,,
P1_A_Hitbox_Scale_Y,2C268430,2.142857552,Float,2C268340,F0
P1_B_Hitbox_Scale_Y,2C268F78,2.142857552,Float,2C268E88,F0
P1_C_Hitbox_Scale_Y,2C269AC0,2.142857552,Float,2C2699D0,F0
P2_A_Hitbox_Scale_Y,2C2689D4,2.142857552,Float,2C2688E4,F0
P2_B_Hitbox_Scale_Y,2C26951C,2.142857075,Float,2C26942C,F0
P2_C_Hitbox_Scale_Y,2C26A064,2.142857552,Float,2C269F74,F0
Sprite_Scale_X,,,,,
P1_A_Sprite_Scale_X,2C268390,1,Float,2C268340,50
P1_B_Sprite_Scale_X,2C268ED8,1,Float,2C268E88,50
P1_C_Sprite_Scale_X,2C269A20,1,Float,2C2699D0,50
P2_A_Sprite_Scale_X,2C268934,1,Float,2C2688E4,50
P2_B_Sprite_Scale_X,2C26947C,1,Float,2C26942C,50
P2_C_Sprite_Scale_X,2C269FC4,1,Float,2C269F74,50
Sprite_Scale_Y,,,,,
P1_A_Sprite_Scale_Y,2C268394,1,Float,2C268340,54
P1_B_Sprite_Scale_Y,2C268EDC,1,Float,2C268E88,54
P1_C_Sprite_Scale_Y,2C269A24,1,Float,2C2699D0,54
P2_A_Sprite_Scale_Y,2C268938,1,Float,2C2688E4,54
P2_B_Sprite_Scale_Y,2C269480,1,Float,2C26942C,54
P2_C_Sprite_Scale_Y,2C269FC8,1,Float,2C269F74,54
Sprite_Scale_Z,,,,,
P1_A_Sprite_Scale_Z,2C268398,1,Float,2C268340,58
P1_B_Sprite_Scale_Z,2C268EE0,1,Float,2C268E88,58
P1_C_Sprite_Scale_Z,2C269A28,1,Float,2C2699D0,58
P2_A_Sprite_Scale_Z,2C26893C,1,Float,2C2688E4,58
P2_B_Sprite_Scale_Z,2C269484,1,Float,2C26942C,58
P2_C_Sprite_Scale_Z,2C269FCC,1,Float,2C269F74,58
Action_Flags,,,,,
P1_A_Action_Flags,2C268346,0,Byte,2C268340,6
P1_B_Action_Flags,2C268E8E,0,Byte,2C268E88,6
P1_C_Action_Flags,2C2699D6,0,Byte,2C2699D0,6
P2_A_Action_Flags,2C2688EA,0,Byte,2C2688E4,6
P2_B_Action_Flags,2C269432,0,Byte,2C26942C,6
P2_C_Action_Flags,2C269F7A,0,Byte,2C269F74,6
Air_Dash_Count,,,,,
P1_A_Air_Dash_Count,2C268515,0,Byte,2C268340,1D5
P1_B_Air_Dash_Count,2C26905D,0,Byte,2C268E88,1D5
P1_C_Air_Dash_Count,2C269BA5,0,Byte,2C2699D0,1D5
P2_A_Air_Dash_Count,2C268AB9,0,Byte,2C2688E4,1D5
P2_B_Air_Dash_Count,2C269601,0,Byte,2C26942C,1D5
P2_C_Air_Dash_Count,2C26A149,0,Byte,2C269F74,1D5
Air_Recovery_Timer,,,,,
P1_A_Air_Recovery_Timer,2C268579,0,Byte,2C268340,239
P1_B_Air_Recovery_Timer,2C2690C1,0,Byte,2C268E88,239
P1_C_Air_Recovery_Timer,2C269C09,0,Byte,2C2699D0,239
P2_A_Air_Recovery_Timer,2C268B1D,20,Byte,2C2688E4,239
P2_B_Air_Recovery_Timer,2C269665,0,Byte,2C26942C,239
P2_C_Air_Recovery_Timer,2C26A1AD,0,Byte,2C269F74,239
Airborne,,,,,
P1_A_Airborne,2C268539,0,Byte,2C268340,1F9
P1_B_Airborne,2C269081,0,Byte,2C268E88,1F9
P1_C_Airborne,2C269BC9,0,Byte,2C2699D0,1F9
P2_A_Airborne,2C268ADD,0,Byte,2C2688E4,1F9
P2_B_Airborne,2C269625,0,Byte,2C26942C,1F9
P2_C_Airborne,2C26A16D,0,Byte,2C269F74,1F9
Animation_Lock,,,,,
P1_A_Animation_Lock,2C268344,1,Byte,2C268340,4
P1_B_Animation_Lock,2C268E8C,1,Byte,2C268E88,4
P1_C_Animation_Lock,2C2699D4,1,Byte,2C2699D0,4
P2_A_Animation_Lock,2C2688E8,1,Byte,2C2688E4,4
P2_B_Animation_Lock,2C269430,0,Byte,2C26942C,4
P2_C_Animation_Lock,2C269F78,1,Byte,2C269F74,4
Animation_Timer_Main,,,,,
P1_A_Animation_Timer_Main,2C26835C,0,2 Byte,2C268340,1C
P1_B_Animation_Timer_Main,2C268EA4,312,2 Byte,2C268E88,1C
P1_C_Animation_Timer_Main,2C2699EC,65535,2 Byte,2C2699D0,1C
P2_A_Animation_Timer_Main,2C268900,0,2 Byte,2C2688E4,1C
P2_B_Animation_Timer_Main,2C269448,0,2 Byte,2C26942C,1C
P2_C_Animation_Timer_Main,2C269F90,65535,2 Byte,2C269F74,1C
Animation_Value,,,,,
P1_A_Animation_Value,2C268484,32,2 Byte,2C268340,144
P1_B_Animation_Value,2C268FCC,133,2 Byte,2C268E88,144
P1_C_Animation_Value,2C269B14,63,2 Byte,2C2699D0,144
P2_A_Animation_Value,2C268A28,161,2 Byte,2C2688E4,144
P2_B_Animation_Value,2C269570,106,2 Byte,2C26942C,144
P2_C_Animation_Value,2C26A0B8,148,2 Byte,2C269F74,144
Assist_Counter,,,,,
P1_A_Assist_Counter,2C2684E3,1,Byte,2C268340,1A3
P1_B_Assist_Counter,2C26902B,0,Byte,2C268E88,1A3
P1_C_Assist_Counter,2C269B73,1,Byte,2C2699D0,1A3
P2_A_Assist_Counter,2C268A87,0,Byte,2C2688E4,1A3
P2_B_Assist_Counter,2C2695CF,0,Byte,2C26942C,1A3
P2_C_Assist_Counter,2C26A117,1,Byte,2C269F74,1A3
Assist_Onscreen,,,,,
P1_A_Assist_Onscreen,2C268534,0,Byte,2C268340,1F4
P1_B_Assist_Onscreen,2C26907C,1,Byte,2C268E88,1F4
